"ID","student_ID","course_ID","withdrew_status","semester_ID"
5,51,20000,Completed,1
10,73,20000,Completed,1
15,157,20000,Completed,1
20,173,20000,Completed,1
25,221,20000,Completed,1
30,330,20000,Completed,1
35,351,20000,Completed,1
40,384,20000,Completed,1
45,449,20000,Completed,1
50,505,20000,Completed,1
55,531,20000,Completed,1
60,592,20000,Completed,1
65,611,20000,Completed,1
70,946,20000,Completed,1
75,1210,20000,Completed,1
80,1422,20000,Completed,1
85,1456,20000,Completed,1
90,1505,20000,Completed,1
95,1606,20000,Withdrew,1
100,1775,20000,Completed,1
105,1864,20000,Completed,1
110,2041,20000,Completed,1
115,2151,20000,Completed,1
120,2176,20000,Completed,1
125,290,20000,Completed,1
130,304,20000,Completed,1
135,336,20000,Completed,1
140,370,20000,Withdrew,1
145,405,20000,Completed,1
150,620,20000,Completed,1
155,705,20000,Completed,1
160,716,20000,Completed,1
165,734,20000,Completed,1
170,844,20000,Completed,1
175,954,20000,Completed,1
180,1044,20000,Completed,1
185,1097,20000,Completed,1
190,1247,20000,Completed,1
195,1276,20000,Completed,1
200,1387,20000,Completed,1
205,1521,20000,Completed,1
210,1530,20000,Completed,1
215,1713,20000,Completed,1
220,1796,20000,Completed,1
225,1839,20000,Completed,1
230,1986,20000,Completed,1
235,2030,20000,Completed,1
240,2214,20000,Withdrew,1
245,2232,20000,Completed,1
250,53,20000,Completed,1
255,158,20000,Completed,1
260,168,20000,Completed,1
265,190,20000,Completed,1
270,231,20000,Completed,1
275,309,20000,Completed,1
280,372,20000,Completed,1
285,458,20000,Completed,1
290,651,20000,Completed,1
295,721,20000,Completed,1
300,737,20000,Completed,1
305,738,20000,Completed,1
310,875,20000,Completed,1
315,1041,20000,Completed,1
320,1226,20000,Completed,1
325,1257,20000,Completed,1
330,1269,20000,Completed,1
335,1317,20000,Completed,1
340,1378,20000,Completed,1
345,1671,20000,Completed,1
350,1741,20000,Completed,1
355,1830,20000,Completed,1
360,1873,20000,Completed,1
365,1937,20000,Completed,1
370,2243,20000,Completed,1
375,126,20000,Completed,1
380,133,20000,Completed,1
385,172,20000,Completed,1
390,259,20000,Completed,1
395,417,20000,Completed,1
400,649,20000,Completed,1
405,662,20000,Completed,1
410,776,20000,Completed,1
415,835,20000,Withdrew,1
420,1066,20000,Completed,1
425,1102,20000,Completed,1
430,1111,20000,Completed,1
435,1135,20000,Completed,1
440,1347,20000,Completed,1
445,1474,20000,Completed,1
450,1744,20000,Completed,1
455,1940,20000,Completed,1
460,1997,20000,Completed,1
465,2069,20000,Completed,1
470,2084,20000,Completed,1
475,2092,20000,Completed,1
480,2228,20000,Completed,1
485,482,20000,Completed,1
490,61,20100,Completed,1
495,269,20100,Completed,1
500,323,20100,Completed,1
505,335,20100,Completed,1
510,338,20100,Completed,1
515,447,20100,Completed,1
520,658,20100,Completed,1
525,716,20100,Completed,1
530,725,20100,Completed,1
535,734,20100,Completed,1
540,781,20100,Completed,1
545,884,20100,Completed,1
550,985,20100,Completed,1
555,991,20100,Completed,1
560,1194,20100,Completed,1
565,1289,20100,Completed,1
570,1399,20100,Completed,1
575,1434,20100,Completed,1
580,1828,20100,Completed,1
585,1923,20100,Completed,1
590,2036,20100,Completed,1
595,2134,20100,Completed,1
600,2162,20100,Completed,1
605,2216,20100,Completed,1
610,37,20100,Completed,1
615,57,20100,Completed,1
620,133,20100,Completed,1
625,313,20100,Completed,1
630,465,20100,Completed,1
635,542,20100,Completed,1
640,580,20100,Completed,1
645,745,20100,Completed,1
650,840,20100,Completed,1
655,866,20100,Completed,1
660,1002,20100,Completed,1
665,1024,20100,Completed,1
670,1039,20100,Completed,1
675,1049,20100,Completed,1
680,1261,20100,Completed,1
685,1312,20100,Completed,1
690,1341,20100,Completed,1
695,1627,20100,Completed,1
700,1695,20100,Completed,1
705,1696,20100,Completed,1
710,1819,20100,Completed,1
715,1997,20100,Completed,1
720,2126,20100,Completed,1
725,266,20100,Completed,1
730,298,20100,Completed,1
735,540,20100,Completed,1
740,633,20100,Completed,1
745,672,20100,Completed,1
750,852,20100,Completed,1
755,858,20100,Completed,1
760,913,20100,Completed,1
765,940,20100,Completed,1
770,961,20100,Completed,1
775,1229,20100,Completed,1
780,1502,20100,Completed,1
785,1704,20100,Completed,1
790,1715,20100,Completed,1
795,1952,20100,Completed,1
800,2035,20100,Completed,1
805,2051,20100,Completed,1
810,2069,20100,Completed,1
815,2148,20100,Completed,1
820,2229,20100,Completed,1
825,28,20200,Completed,1
830,30,20200,Completed,1
835,53,20200,Completed,1
840,57,20200,Completed,1
845,97,20200,Completed,1
850,100,20200,Completed,1
855,167,20200,Completed,1
860,426,20200,Completed,1
865,537,20200,Completed,1
870,540,20200,Completed,1
875,1106,20200,Completed,1
880,1189,20200,Completed,1
885,1306,20200,Completed,1
890,1334,20200,Completed,1
895,1402,20200,Completed,1
900,1441,20200,Completed,1
905,1593,20200,Withdrew,1
910,1871,20200,Completed,1
915,1883,20200,Completed,1
920,1952,20200,Completed,1
925,2139,20200,Completed,1
930,2171,20200,Completed,1
935,2205,20200,Completed,1
940,33,20300,Completed,1
945,163,20300,Completed,1
950,404,20300,Completed,1
955,426,20300,Completed,1
960,613,20300,Completed,1
965,623,20300,Completed,1
970,676,20300,Completed,1
975,836,20300,Completed,1
980,863,20300,Completed,1
985,988,20300,Completed,1
990,1020,20300,Completed,1
995,1106,20300,Completed,1
